Header,Rating,Review,Product
great for the price,4.0,i have one remot mount by the entranc that control all the light except my bedroom so i can turn them all off quickli when leav and i have one remot mount by my bed that control everyth so i don t have to get out of bed to turn off all the light 1 star for the control outlet take up too much space it s hard to use the non control outlet i have a roommat that would drunkenli turn on my bedroom light while i sleep if the live room control had the abil so i disabl the bottom two button on that remot i don t know if they could have been program to not use those outlet becaus i didn t check but i just took the remot apart and broke the connect to those button it can be easili solder back on if my need chang,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
veri handi remot plug socket,5.0,i love these it took me a few tri to figur out which set made the most sens to purchas but as expect they got cheaper per plug unit as the number increas we use these for our christma tree and two set of light in more distant locat in our hous at night i d grab one remot and click click click they were all off the plug do obstruct the other plug in the outlet but thi wasn t a problem for us it sure beat pull out the couch twice a day to plug in unplug the light not a singl problem with them i remov the batteri to store away until next christma,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
compact great rang control ergonom,5.0,these remot are excel compar to other i ve use in the past these are much more compact high power handl capac and best of all they have great rang i use all five of them within the electr system of my koi pond and chang mode of variou part is a breez the control unit ha separ on and off button which give much more confid and less guess than toggl type i d have given six star but one of the send unit quit respond to 1 off the manufactur is send a new one with the correct frequenc code right away thi way i don t have to remov all the remot unit and reinstal a replac set so good custom servic i ll post an updat after they ve been in use for a while,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
they do the job well,4.0,just got it today i wa supris at how larg the plug ar and small the remot are i plug in a coupl thing and so far it work as it should you have to use the top plug in thw wall so no more night light in that room and in a surg protector bar they take up too much space don t have an overhead light in my offic so i m mount the remot on the wall and plug in lamp also go to tri use them on my game system as i have read they often use larg amount of fantom energi and i did notic a jump in my bill leav them plug in all the time still 2 remot and 5 plug it s a great price had the plug been smaller or abl to switch the direct of the plug so it can go top or bottom they would be a 5,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
these are awesom bought them for my son 4 year,5.0,these are awesom bought them for my son 4 year old to use in with hi new loft bed so he could turn light on off from ground level and from up hi hi bed they were super easi to program and we play with make differ combin to fill all the button base on activ read light stair light night light and stair light etc we use all 5 and they all work he love use the remot and ha been excit to go to bed i use some velcro to attach one remot to the insid of hi bed and the other next to hi light switch by the door in hope we don t take them down and lose them i do wish they weren t as bulki as they are becaus they didn t tuck in well behind hi dresser and edg of hi bed but we follow advic of other and just use a small 3 prong extens cord in the end i wa abl to conceal them as much as ani plug so i won t fault them a star some extens cord had the plug hole too close togeth so we wast a plug but other were space perfectli apart to fit the bulki plug and anoth regular plug side by side perfectli i m buy more for our lamp downstair our main ceil light isn t bright and i love the light we get from our 5 lamp but we don t alway turn them on becaus we know we don t want to turn them all off for the money thi is a super solut we don t need to control the light with our phone or speak them on with alexa a button on the remot is all we need,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
thi kit ha been great my hous is old and doesn t alway have,4.0,thi kit ha been great my hous is old and doesn t alway have light or switch in the most conveni of place and i also have some switch lamp that are hard to reach or just a pain to use and these outlet make turn them on and off so easi the remot are small and easi to lose but i just use velcro strip to keep them on the wall so if i ever need to take it with me i can i have also been abl to buy rf transmitt board and connect them to my raspberri pi which ha allow me to smarten up my home without shell out ton of money for smart bulb and hub there are onli a few drawback the first is obviou from first glanc which is that the outlet are huge i don t know whi they are so big as i ve seen similar devic that are smaller and i know that the underli circuitri should not requir that much space some user have even sand down the edg to make them fit better into certain space so don t use them in a place where you need to be abl to use the second wall outlet becaus these behemoth will almost certainli block access otherwis buy a power strip the onli other issu i ve had is that the rang isn t amaz even in my small hous that be said my home ha basic the opposit of an open floor plan and there are lot of wall and other obstruct and the interior structur are also made of with old dens materi like plaster that are not as easili penetr by rf signal as drywal probabl is so thi may not be your typic experi you may have to experi with placement to make sure the signal from the remot can reach the outlet fortun the rf transmitt board connect to my raspberri pi allow me to attach as long of an antenna as i want and do so ha result in what i estim to as a 99 9 success rate wherea the remot alon probabl work closer to 95 of time with my setup overal thi is a veri simpl yet afford home autom solut at least for peopl who don t want to spend lot of money on newer internet connect devic or for maker and highli technic peopl who like to hack togeth their own system veri pleas,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
work exactli as expect with one tini nag issu,4.0,work wonder just as claim both the remot are the same control the five outlet given the batteri is a bit non standard but most larg department store have them i just have one nag problem with the switch if an outlet is turn on use the remot and you use the wall switch to turn it off turn on the wall switch doesn t turn the devic back on you will need to remot to turn it back on so our bedroom ha a wall switch for the light i got the remot so that if i am read in the bed at night i don t have to get out of bed to switch off the light to sleep the switch work wonder for that but now the wall switch is useless if the light is on and i am walk out of the room and if the remot is not handi or far away i can t use the wall switch i have to use the damn remot i have to hunt it down in my sheet where it could have got lost caus if i use the wall switch to turn off the light while walk out of the room then i can t use the wall switch to turn it back on when i come insid as the manual say outlet remain off after a power outag to save energi which might work for some but it is realli irrit for me i would like both the wall switch and remot to be usabl for a power point,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
love these becaus they are not wifi or bluetooth,5.0,i realli like these set especi sinc they re not bluetooth or wifi i specif bought them oddli enough becaus they did not connect to wifi we have alexa devic and wifi smart devic throughout our home but boy do they take a toll on our bandwidth and wifi perform i need someth that onli talk to the remot thi packag gave me two remot and five outlet all programm howev i need you can choos which item is 1 2 etc and they can all be move and reprogram you could use one remot from some outlet say on a separ floor and anoth elsewher or you can pair these with the same outlet which is what i did so i connect pair it with light 1 2 3 4 and then did the same exact thing with the second remot both remot work on the outlet which is what i want but if i chang my mind i can split them up later reprogram them buy extra outlet or remot it s all customiz and i m happi one tip you can connect an extens cabl or power strip to one of the outlet receptacl and have one button and outlet simultan turn on multipl light the onli thing i can t do that would be nice is to have a button to turn all light on or off each one ha to be individu turn on off not a big deal but someth i want to point out in case it s import someon els,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
if it had a dimmer it d be perfect but it s definit a great product,5.0,if thi had a dimmer it would be the perfect way to control light in your hous i didn t get thi for the convent reason most peopl get it but rather becaus my room lack an actual ceil or wall light and also becaus i have a veri tall loft bed which make it a littl danger to turn off the light befor bed to climb step in the dark to reach my bed so i plug one of these into the electr outlet and i plug a lamp onto that then i program both remot i put one of the remot by the door stick it with doubl side tape and a plastic hook onto a latch that i glu to a blank wall plate and that s the equival of my wall switch then i place the second remot also use doubl side tape plu a plastic hook and latch on the wall upstair by the loft bed so if i come insid the room i have light immedi and easili and then i go to bed i can turn off the light from bed in case you re curiou about the latch hook combo thing here s what i bought http www amazon com dp b06xrv53fm ref cm_cr_ryp_prd_ttl_sol_1 i am not use thi for other room in the hous but you certainli can program mani light with it which is safe and conveni especi to avoid trip over anyth the remot come with batteri,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
a great product that i would buy again,5.0,five star is not usual justifi for most product but i m so happi with thi remot control that i m give it a 5 first off the price for five switch and 2 control is quit reason the second big plu is that it work as it is suppos to we recent move to a smaller hous and it s difficult to climb over furnitur to turn light on and off our bedroom are wire so all the outlet are switch by the door switch that s wors than no switch at all the etekc remot control ha fix all our problem for the first few day i walk around the hous turn thing on and off and enjoy my feel of be so smart and be in control anyway thi is a great product it seem work through wall and anywher in the hous it come with two remot control so we leav one one in the live room and one in the hallway to the bedroom when i go to bed i move that one to the bedsid tabl that way we can turn on light while we are still in bed one other thing i found use wa to use a label maker for identifi which switch doe what in case i forget thi is a great product and i would buy it again,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
no more stumbl to find light switch in the dark,5.0,my hous ha terribl overhead light and poorli place switch so i use a lot of lamp to supplement the light the problem is walk across a dark room with trip and fumbl around tri to find the switch it s a pain not to mention if you forget to turn off the light you have to go back all the way across the room and turn each one off it s a pain that make me not want to use certain room at night until now these are great each plug ha a number 1 5 on the top so that you know which button to push on the remot setup wa easi and they work well my onli complaint is the shape of the plug make it imposs to use the socket in the outlet for thing like a phone charger a regular plug will still fit the button are sensit from a distanc so my cat accident turn on a light in the other bedroom and i had no idea i ve onli had them a coupl week but so far i am realli enjoy thi purchas,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
lifesav plug,5.0,we had purchas one of these and had to have more these are perfect for item like my husband s massag chair that is suppos to be complet turn off when not in use also after my brother had a hous burn down from a flat panel televis overh when it is wa off we decid to safeguard our pet by use these for all televis in our hous now with one remot we can actual turn all item off that we feel can be hazard awesom item,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
control 5 unit with a dedic on and off button for each simpl no hassl hooray,5.0,the simplest solut is the best solut have a crestron enabl smart home with their video distribut bought in on all the jazz via ipad control 4 of them handl all the hvac lock cam bla bla bla around six month ago i ad three alexa enabl wifi outlet connector they pick the worst time to turn red on their signal meter mean even if i turn them on from my chair i m look at the back and forth routin reset and tri differ locat terribl wast of time and money spent on lack of inconveni bought these 5 pack and bam no hassl if you can plug them in and pull out the littl plastic strip to activ the remot batteri you re all done crazi liber on the line of sight deal have a huge master with sit room and even the one 40 feet away and hidden by my bed is bat 100 for on off all 5 came preset with the number which run vertic 1 at top down to 5 on the bottom left side on right side off idiot proof and i m not work to have my tech work for me ani more the fact that the whole group of them cost less than a singl wifi unit all the better too ps these guy will block the 2nd outlet if you re gonna use a power brick but a regular 2 or 3 prong end will squeez in with littl effort the wifi guy that i own block the 2nd outlet flat out so had a coupl of outlet where i had them stack on a 1 to 3 littl vertic plug adapt ye ugli and complet ridicul if you ve got an auto level air purifi that love to turn up when your movi get good or you have so mani time easi access to that lamp would help ya thi is your ticket my hue light which i love alexa enabl 15 of them in the master are super and fun but you re look at turn the tv down to tell alexa or wake up your phone and be patient for the 2nd chanc connect to hub onc again tech that come with you be the worker bee if i make thi whole rant as simpl as i can thi 5 pack ha super rang dedic on off for each of the 5 devic and i haven t play the deer hunter aim game or play mors code with the button to work have the 2nd remot work out awesom for the bedsid nightstand i am surpris and happi that the convinc vs spend ratio on thi wa off the chart,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
anoth great product by etekc,4.0,i ve purchas multipl product by etekc and i ve love each one thi is no except i have my primari hous and a vacat home so i realli need multipl remot outlet and multipl control they realli come in handi for mani use my wife ha light garland about our cabinet in our home in the mountain and it wa a pain to have climb up and plug unplug each time now i can just push a button these are realli easi to use simpli push the button on the side of the outlet and press a number button on the remot done it s now assign to that button repeat for each outlet the onli minor problem i have is they are so big they can block the other outlet if you alreadi have a larg plug or adapt plug in ha onli happen onc but i can see where thi might be an issu,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
home autom for the simpl,5.0,thi solv the christma light problem without get too complic i love the idea of the autom home but i have no need to spend hundr of dollar to creat a hub that will turn expens live room light blue on command i m content push a button to turn on the radio or tv but at holiday time i hate have to walk around the hous light both xma tree the light on the mantel the light in the upstair window you get the idea and now you know precis how lazi i am for about 30 thi gizmo let me plug in everyth and light it with a singl press in fact i could make overlap zone to just light the tree dure the day then turn on the window stuff when dark fell sinc last januari thi ha sat at either end of our sofa let each of us turn on the hard to reach read light seem simpl and reliabl and i don t need to commit to one of the compet autom home system just yet yay,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
work exactli as describ easi set up devic come alreadi pair up with two remot enough for two room,5.0,thi is a good way to retrofit a home without switch older hous in particular may not have adequ light or ani ceil light at all in the live room i purchas thi for my parent so they could control all the lamp in the live room from one locat set up consist of plug the unit into the wall outlet and plug the lamp into the unit there are two control five plug and two control are enough to do two room if you are concern about misplac the remot you could mount a dummi switch plate to the wall and glue or velcro the remot to the switch plate thi is not a wifi bluetooth or internet connect devic it doe exactli what it say it will do is simpl enough for my elderli parent to use and seem to be a good valu you can do the same thing with more expens home autom solut but that would not have work for my parent they are not all that familiar with the technolog that run those type of devic there wa a littl bit of a learn curv as they becam accustom to know which button control which light we put all the remot in ascend order clockwis around the room a few time they have use the switch on the lamp to turn off the light out of habit thi is a lightweight devic i wouldn t recommend it for anyth draw much power such as a shop vac or dust collect system,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
great for senior button can be reprogram to control multipl outlet,5.0,i bought thi for my 94 year old grandmoth who recent move into a senior live facil she wa use her walker to walk to each of the lamp in her room and turn them on and off and she wa have a hard time turn on the lamp in the dark a friend had given me thi product as a gift sever month ago so i immedi thought of thi as a solut and i order thi set for my grandmoth i had my 8 year old daughter reprogram all of the outlet to turn on and off use the 1 button on the remot ye it s so easi an 8 year old can do it now my grandmoth can just press one button on the remot to turn all of her lamp on and one button to turn all of her lamp off it work so well and my grandmoth love it the remot is a nice size and the button are larg enough and simpl enough that my grandmoth can easili find the 1 button at the top with christma come up i m go to put up some christma light in my grandmoth s room and plug them into one of these control so that she can have festiv light dure the holiday with zero inconveni the onli minor downsid to thi product is the size of the receiv that plug into the wall in some case you can still use the second outlet below them but onli if the other plug is small and in case where the outlet is behind furnitur and you don t have 3 of space you will need to get creativ be prepar to use some outlet saver extens cord or a power strip but despit the size thi product is fantast my grandmoth love it,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
i wa look for someth like thi at home depot and low,5.0,i wa look for someth like thi at home depot and low veri expens and onli control one light with one wireless transmitt or two light with one transmitt i want more than one remot the one i found onlin or at the store had some requir hard wire into outlet nah i dont want that the cost wa outrag almost gave up hope we live in an old hous and do all of thi electr work would have been super pricey or frustrat with all of the old wire and such discuss it with my buddi and he said i should check amazon and tri a search for three way i didn t think about do that and i shop on amazon all the time for the price of one transmitt and one receiv pack thi product gave me two control and five outlet damm 30 00 and i can control up to five applianc a remot by the door and one by the bedroom sweet nice qualiti of materi and engin my one wish for futur design is smaller outlet unit the way it wa design i thought the outlet swivel i had to get a littl creativ to get two outlet to go side by side in outlet i am veri happi with my product and it wa easi to instal it wa easi to program and chang love it love it love it thank etekc,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
inexpens wireless outlet that work great,5.0,pro work great easi to use great rang for the remot also signal goe through wall inexpens improv i wish there wa a version of thi with 10 outlet and 10 button on the remot i just purchas two set an all on and off button on the remot would be nice option to purchas more than 2 remot configur alreadi would also be nice i believ you can purchas remot separ and configur them yourself lastli the size is decent small especi for the price but if they could be made smaller that would be a nice bonu,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
home autom on a budget,5.0,sinc purchas a googl home i have been focus on home autom one of the big drawback ha been the cost of remot control switch most wifi or z wave switch are 30 or more i found these outlet on amazon and discov that they could be use with a 433mhz hub to oper with smartth and googl home at right around 5 switch simpli buy a broadlink rm pro or a hook hub and you can use multipl set of these switch to control fan light small heater applianc etc,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
save us 1000 s of step,5.0,purchas the etekc wireless remot control electr outlet switch for household applianc white learn code 5rx 2tx to remot control the light throughout our hous and our a v system these unit were easi to set up and have work flawlessli for over 9 month we even purchas an extra remot and wa abl to easili program it to work with our setup pro rf signal ha great rang easili cover from one end of our hous to the other veri reliabl friendli respons custom servic con the switch are big to prevent ani issu with the size we simpli plug the remot switch into a short extens cord like those in the etekc 10 pack power extens cord set http www amazon com dp b00cejw0wq ref cm_cr_ryp_prd_ttl_sol_37 and problem solv anoth review mention that the remot control ha a veri basic design and in the dark it s hard to tell which is the top and which is the bottom they found that place an elast band around the bottom make it easi to determin which way is up when you re fumbl around in the dark great tip thought it wa worth repeat it again thi is a qualiti product that continu to serv us well recommend you consid thi product if you want a system that is readi to use right out of the box to remot control your light and other devic thi product wa not provid as a sampl for thi review so none of these comment are influenc in ani way by the seller updat 8 27 2016 our first set ha work so well over the last 6 month we decid to purchas a second set to control some extra comput equip and floor fan the second set work perfectli right out of the box with no interfer with the origin set so there wa no need to reprogram anyth these unit just work and work and work press the button for the unit you need onc and the function work first time there is never a need for multipl press on ani button to get them to work buy a set you won t regret it,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
veri handi and two remot make it great,5.0,i wa a bit hesit about buy these base on some review but am glad i did it s true one devic take up a lot of space on a power strip but luckili for me 3 of the 4 in use are in wall socket and in the upper socket the bottom one is free so far they work realli well and i can turn a light on off even with the door close befor i enter or after leav a room in my bedroom it s especi handi sinc the ceil light switch is about 4 feet into the room and in the dark it s hard to find i hung a small flashlight on the door handl but kept put it down after get into the room and turn on the tabl lamp i prefer to the ceil light now i have a remot hang on the door and just click it on or off as need i discov these don t work with my touch lamp but sorta expect that anyway no biggi one is use for a fan in the kitchen and can be turn on off by point the remot at the wall between the kitchen and dine area which is handi sinc the 2nd remot sit in the semi useless telephon cubbi hole the previou owner didn t instal a phone jack near it and i m not about to the onli problem i ve had is misplac the 2nd remot but it wa under a pile of junk on my desk now it stay in the cubbi hole i made the mistak of put it in my pocket when i let my dog out to do her busi but sinc it turn the front room lamp on off with the door close there s no need to move it i don t know how long these will last but they seem to be a simpl way to control up to 5 electr applianc they re rate 1200w 10amp so small applianc like coffe maker and toaster should work although i doubt i ll put bread in the toaster at night so i can start toast when i wake up mayb coffe but sinc i drink ice coffe in new orlean hot coffe is nice about 3 non consecut week dure winter the pot is usual in the refriger,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
