Header,Rating,Review,Product,asin
I got this smart plug to turn on/off TV power to my kid's ...,5.0 ,"This does exactly what I need it to. I got this smart plug to turn on/off TV power to my kid's room on a certain schedule. The app and setup was simple to do. The scheduling is exactly what I needed, I can see this used for many other things as well. I have it set to turn off the kids TV at 9pm and back on 4pm after school. Weekends I have it set to turn on 7am-10pm. Very convenient to control their TV time and if they're bad, I can just manually turn it off myself. Very cool gadget.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
it has been great worked and very fast,5.0 ,"I bought this WIFI Socket specifically to turn On my Gaming PC while I am away from my home. And so far, it has been great worked and very fast. I can control the socket via mobile data as long as the socket is connected to a WIFI. I have already used it to download a game update so when I came home the game was ready to play. This socket + Google remote Desktop= Paradise. Also, this socket powered my gaming PC through intensive gaming without a hiccup or a drop-in performance. My PC has an overclocked CPU with a GTX1070 a lot of peripherals and it did not crash once. I am very pleased with this socket.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
I decided to go with smart plugs for everything,5.0 ,"I decided to go with smart plugs for everything . Wroke great with Alex, sometimes you need to reconnect it to the network. these are my entry into the smart home world. Couldn't be more happy! Relatively inexpensive, easy to install and offer me a great deal more control over my home than I had before. I will certainly be ordering more in the future. absolutely no problems finding the app on iTunes and it only took about 3 minutes to set up (most of which was waiting for wifi to connect). The only downside I see is that when it turns on or off there is a fairly loud clicking noise but it's nothing that will wake up the neighbors and since it is only for a moment it really isn't that bad. We'll see how well it works in the longer run but as of right now it works great, and if I have any problems I'll be sure to update this review! Definitely would buy again. Pretty much works as described. You go through a straightforward process with your mobile phone to get the plug itself to be attached to your home's wifi. Make sure you know your wifi password before you start. Then turn it on or off via alexa or mobile phone.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
"Perfect, amazing smart plug!",5.0 ,"This smart plug is perfect. I have it set to automatically turn off the string lights in my room at night at 10 PM and to turn them back on in the morning at 6 AM. It was really easy to set up, just download the app (Homemate) and set up some timers and you're ready to go. I have had no issues with it whatsoever thoughout the past few months for which I have used it and it's been great. I also like that it has a physical on/off switch so that I can turn it off manually when I want to, though I must admit that it's so much more enjoyable to do it through my phone. I am highly considering and probably will buy more of these to automate various other lights in my house. I ready don't have anything negative to say about it. Except the app could be improved because apparently it has to log every automation that occurs, which accrues to unnecessary storage being used on my phone in the range of 100-150MB. Overall, though, I'm really satisfied with this smart plug!","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Perfect for voice control via Amazon Alexa,5.0 ,"This smart socket is perfect for voice control via Alexa. I really like using it for our bedroom light so we don't have to get out of bed to turn off the light. Please note this only works with an electrical outlet where you plug something in, not for a light controlled by a switch on the wall. I even hooked my other smart socket to my Scentsy warmer so I can tell it to turn on or off without having to find the little switch on the cable. Setup is easy with the Home Mate app. You must download and set up your device(s) through the Home Mate app first, and then add them to Alexa via the Amazon Alexa App. I ran into a little trouble getting Home Mate enabled on the Alexa App but the trick is to make sure you're signed into the Alexa App with your Home Mate credentials FIRST. I wasted a lot of time assuming enabling the Home Mate Smart Home skill for Alexa would be adequate but you need to sign in with your Home Mate credentials first.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Excellent Smart Plug,5.0 ,"I bought the ZettaGaurd Smart Socket to use in my living room. I have it plugged into a lamp so i can always control it. On nights that i have to work late it is great to turn on the light from my phone and not come into an empty house. We also use it when going on vacation or an extended weekend. I can grab my phone and turn it on, then turn it off in the morning or at different times. It is a great device to have. At Christmas i think i am going to use it on the tree that we put inside the house by the big front window. This way i can easily turn it on and off nightly if we are away to be festive but not have the tree running for extended periods of time. This is an easy way to have an entry level smart house feature without spending tons of money. it could easily be used in a shed or basement where the lights are not easy to get to in the dark. Lots of good options and a very affordable price.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Cool technology,4.0 ,"I have heard a lot about smart technology like this, so I decided to order one outlet. I hooked it up to my crockpot so I could start the food after I left for work. I marked it 4 stars because the instructions are seriously lacking. I was able to fumble with it a while and get it figured out, and it does work great. It is really cool to be able to control electronics from my phone. It says it can support up to 20 devices but I can't get that part worked out yet. It is cool that you can prevent overcharging with it, which is a big problem with my cellphone.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Good functionality,5.0 ,I decided to get into the world of smart devices and the smartplug seemed like the perfect place to start. This is wifi connected and after linking the device you have incredible functionality using timers. I have this set for my heater in the morning. I have to get up super early for work and having this makes getting up in the morning sooo much easier. My heater turns on and off on its own. Im thinking of buying a few more for lights in my living room to automatically turn on at a certain time for security reasons.,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Smart socket is worry free,5.0 ,"Who needs a smart socket? THIS girl!! I suffer from anxiety. every time i leave i wonder if i turned off my straight iron or curling iron. Worry no more...this light is great, once you hook up the app to your phone and your hubbies phone..cause just in case yours is not on you. you can control it. i was able to turn it off 30 miles away. i did several test short distance and it worked great. you can also set it on a timer to go off after a certain amount of time. even better is you can program it to come on a time so you can have your iron ready when you need it. Another thing this will be great for is our trips away i keep a heater in my bird room along with a camera to watch the temp in room. I can easily set the heater on this to come on if it gets too cold. so i dont need to wake up my pet sitter to do it. This has so many great uses.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Great price for such awesome technology,5.0 ,Great smart plug for the price. I absolutely love this. As a mom of 13 kids I am busy ALL of the time. The hair straightener is a bit point of concern. I have such a fear of leaving it on in the mornings and burning down the house. Now all I have to do is use the app and worry no more. I seriously think I am going to buy more of these. I love how easy it is to put an app on your phone and you can control whatever is plugged into it. Such a good price too!,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
"Easy to set up, works fast with no probelms",5.0 ,"Awesome smart socket, VERY easy to set up (took less than 5 minutes from opening the package to having it set up and working). All you need to do is download the housemate app to get the socket connected to your wifi network. It works flawlessly and is basically instantaneous when I push the button on my phone the plug immediately activates and turns on whatever I have connected to it. Awesome design and works perfectly. Easy 5/5 stars on this and I can recommend it to anyone who has something in their home that they would like to control via their smartphone. Great buy.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Handy smart plug,5.0 ,Honestly this plug is a great investment! I really like that you can program timers in the app to shut off the plug at diffent times. This also can be used as a deterrent. I thought it would have more features with Alexa but it don't but don't let that steer you away from the item. The price is great for this plug. The app is really nice and it was easy to set up. I set this up on my refrigerator so I can shut the darn thing off when I need to. This is also good for kids room for light out. You can program it to turn off on certain days of the week and times. Really like this plug and do recommend it.,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Awesome smart plug,5.0 ,The smart plug is fantastic. It is easy to use and easy to set up. It gives you great versatility as far as being able to turn electric devices on in your home when you are not there. Like let's say that you are out of town but you want to make it appear as if you are home. With this device you could activate a lamp inside your living room at a designated time from virtually anywhere that you have smart phone access. I would definitely recommend it this smart plug if you are in need of one.,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Works fine but app invades privacy,2.0 ,"Does exactly what is is supposed to do. Quick setup after you load the app on your phone. But the app is the issue. Why does an app for a smart socket outlet need access to your camera, contacts, photos, location, microphone, phone and storage. Clearly none of this data is required to operate the switch so the ONLY reason would be to invade your privacy.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
So easy and convenient.,5.0 ,Well you can't get any easier than this. Thank you to the Q&A section I discovered I can plug a power tower into it for my office/desk top stuff and turn the tower on and off. That's great because we have a lot of storms and I like to turn all of the peripherals off just in case. Now I can do that easily without having to move furniture away from outlet to unplug or turn off power strip manually and then I can turn the power tower back on as well. Peace of mind. Thanks Q&A,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Great programmable smart socket for any home,5.0 ,"I added the smart socket to my smart connect devices in my home, I wanted to be able to use this through my houses wifi setup. Great price and have spent more for other sockets I like that I can plug in more than 1 device to the socket It was easy setup and I was able to control its features through my phone app I am signed up with my local electric co. which gives energy rebates based on usage I can turn and on small appliances","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Works well on 2.4Ghz.Very user friendly!,5.0 ,This is a very good socket for 2.4Ghz Wi-Fi. It works well with the app on my phone. The app is very user friendly and gives good instructions. It gives a little beep and has a light to indicate on/off. It is very nice to be able to turn off lights or other electronics while away from home. It doesn't work on 5Ghz so if your Wi-Fi doesn't show up in the app then that is probably why. It is noted in the documentation and on the app.,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Nice for simple control of on/off for whatever is plugged in,5.0 ,"I'm not a fan of needing to use the phone app to control this with no way to do it in a web browser on a PC, but if I really need to, there are scripts to be found that can allow this to execute on a PC. That said, it works perfectly for my needs -- so well that I bought 2 more of them. Setup was fairly easy, though one of the devices was a bit finicky and required multiple attempts to get a connection. Once set up, it has performed flawlessly.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
easy to install.,5.0 ,"Bought as a gift for my mother in law who stumbles around in the dark a lot. My husband told me the clapper was outdated so we figured we would try this out. We installed the app on her phone, it was really easy. She can now turn the light on with the use of the app and ZettaGuard. She loves it and is having an easier time getting around because of it. I like it because it makes things easier for her, and it was easy to install.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Google Assistant,4.0 ,"ZettaGuard has a good product for controlling home automation. However, I am a little disappointed by the fact that they do not have an integrated feature within Google Assistant as other smart sockets are able to do. Being able to hands-off speak to Google Assistant to turn on your appliances is more ideal than going back and forth with the app to control your connected appliances. Hoping to see some sort of integration with this feature in the future. Overall, this product is good; however, in terms of ""smart"" there is a little more room to fit in for this great product.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Clicking Noise,5.0 ,"It was easy to set up and works great! I had absolutely no problems finding the app on iTunes and it only took about 3 minutes to set up (most of which was waiting for wifi to connect). The only downside I see is that when it turns on or off there is a fairly loud clicking noise but it's nothing that will wake up the neighbors and since it is only for a moment it really isn't that bad. We'll see how well it works in the longer run but as of right now it works great, and if I have any problems I'll be sure to update this review! Definitely would buy again!","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Pretty much works as described,4.0 ,"Pretty much works as described. You go through a straight forward process with your mobile phone to get the plug itself to be attached to your home's wifi. Make sure you know your wifi password before you start. Then turn it on or off via mobile phone. Also can set schedules, timers and such.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
you connect the Smart Outlet to your Wi-Fi,5.0 ,"Bought this to simply turn on and off my bedroom lights from afar, cause I'm lazy AF. Especially when I'm already lying cozily in bed under the warm blankets, the last thing I want to do is get up and physically turn off the light. The package arrived promptly, and set up was a cinch. There are clear instructions on how to set it up. Basically, you connect the Smart Outlet to your Wi-Fi, then download the HouseMate app on your phone. I'm able to control the light anywhere in my 2-story house, so the range is good. It works as intended, no complaints there. It's also quite aesthetically pleasing, with its sleek white design. Overall, it's a great Smart Outlet and gets the job done.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Turn electronics on or off from anywhere!,5.0 ,"I really like this smart socket device outlet. I purchased this for my bedroom. I found it easy to install and to use from the HomeMate App. I really like how I can control my bedroom lighting or my other smart devices from anywhere. The outlet socket isn't that large, its the prefect size and that's what I was looking for.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
This is really cool. I got one of these to try out ...,5.0 ,This is really cool. I got one of these to try out and I think I now need one for every socket in my house. Super easy to use and set up. I'm able to turn the lights on and off from wherever I am. So convenient. i no longer wake up my bf while getting out of bed to turn the light off. Loving this.,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Very convenient and easy to use!,5.0 ,"This is a great smart socket! It was super easy to setup, plus the app is easy to install and use! We have it setup in our front living room so that we can turn the lights on from the app before we get home in the evenings. We started with one to see how we like it and now we are ordering more!","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Plug and Play!,5.0 ,"Product worked exactly as expected. Essentially plug and play once you download the app. It's very easy to use, hooked up to my wifi quickly and now lights can be activated remotely (whether I'm home or away). I also love that I can schedule times for lights to turn on/off in advance. Only word of warning is that once you have a lamp or other item plugged in, you can only turn it on/off via the app or by pushing the little button on the socket.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Works Perfectly!,5.0 ,"Bought this product to use with my echo/Alexa, and it paired no issues. Download the homemate app to set up your outlet, then in the Alexa app you can add the homemate app. From here, you'll be able to tell your echo to turn on and off whatever is plugged into that outlet. Highly recommend","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
5 star product .,5.0 ,The zettaGuard s25 wifi smart socket worked exactly as expected. once you download the app. It's very friendly to use its very easy to setup.and the most important thing which i love the most that i can now schedule times for lights to turn on and off. i love this smart socket and i will recommend this to every one to try it .,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Great smart socket,5.0 ,"An easy to install (obviously) and easy to program (not so obvious) smart plus that has been very reliable. An excellent alternative to others I have owned and were nothing but a hassle. I highly recommend this item. If I need more in the future, this will be my choice.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
"App and Socket Outlet work great, so easy to setup and use!",4.0 ,"Really like this socket, however, I had to plug it in upside down because of the way it's made, which is kind of awkward. It's really easy to connect, though, and the app works great so far. No problems with connecting or turning on and off.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
I LOVE this thing!,5.0 ,"This piece of tech is very handy for me. I put it inline with the workshop lights in my garage so at night when I forget to turn off the lights I don't need to go back outside to turn them off. Works flawlessly for me, with what seems like great wifi range. Really nice and polished look to the app that is used with it. I will be buying more of these and other products from this company.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
and I like that I can program a schedule of on/off times,5.0 ,"This works really well, no issues to report. It's exactly what I was hoping for, and I like that I can program a schedule of on/off times.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Easy to use,5.0 ,"Easy to You, sleek, small but could be smaller. Works really good, up to 10 timers which is a awesome think for my crazy household. This is my 1st wifi outlet & I love it. I definitely will be getting more for my self & as gifts","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
I just received this product and I love it. I bought it for my dehydrator,5.0 ,"I just received this product and I love it. I bought it for my dehydrator. I will do a follow up to see how long it lasts. I was reading bad review of people saying the directions to set it up where bad and they need to by a hub. Well READ the directions. This app has different ways to set things up and people are clicking on the shiny add device and guessing what they bought. You have to follow the directions and click the + in the top right. If people can read directions or don't know their wireless ""wifi"" passwords then you need to sell all your computers and phones and get a damn typewriter. One grip I do have about it is the size. I wish it could be smaller but for the price I cant complain. Other then that its working and works good but only time will tell. Its deer season and I have a ton of jerky to make so we will see if it survives and if it keeps lasting I will be buying several more.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
I'm impressed.,5.0 ,"""Well, I had doubts so I started out carefully and made a mistake... I certainly wasn't ready to load my drivers but BOOM all the sudden my 2 monitors lit up and so did my face.wow, it works and works really well.I think plugged in my remote sound system BOOM I have great sound. then other USB and network cable.I've only used it for one day but so far I'm very happy for a quality product.So much so that I just ordered one for my girlfriend.""","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Smart Socket worked exactly as advertised,4.0 ,"Smart Socket worked exactly as advertised. I followed all the steps to setup with the HomeMate App and the Smart Socket was up and running in less than 5 minutes. The only keeping this from a 5 star rating is the App setup. In the first setup selection, you have to pick the device type (this device was under ""Socket"" not ""Switch and Outlet"", which I had chosen first. Once I figure it out, everything was smooth sailing.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
No brainier installation.,5.0 ,"""This thing is so cool,I hooked it up to my windows 10 laptop, and my windows 7 desktop. By switching a single USB cable I can switch 2 monitors, keyboard,mouse and audio between machines very easily. Windows 10 automatically installed drivers Windows 7 needed the CD (or download via their website) but it worked immediately with no reboot. So far I'm very happy with it!""","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
"It work really good, I could be out of the country and ...",5.0 ,"It work really good, I could be out of the country and as long as I have data connection on my phone these can be operated at my will despite the how far I am, of course the Wi-Fi from my home needs to be connected as well","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Cool gadget,5.0 ,"The thing i like the most is that i can control whatever electronic i connect to this wifi socket like fans, lamps, tv, A/C","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
It is easy to set up and works fine,4.0 ,"It is easy to set up and works fine. The directions for getting it to work are clear, but the directions for using any other features are non existent. It took over an hour of trying to guess how to do other tasks like naming the location, changing a background pic, etc.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Four Stars,4.0 ,Works well for the price.,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
So convient,5.0 ,This is a super cool outlet! I love the idea of being able to turn on and off anything connected to the outlet from anywhere i am! How cool is that.,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Works Great!,5.0 ,Works great! Easy to set up with Alexa. No problems. Great price!,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
"Homemate skill doesn't work, need to reset it everytime ...",1.0 ,"Homemate skill doesn't work, need to reset it everytime to make it work with Alexa, but few hours later it stop working again. Don't buy this product.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
AWESOME SMART PLUG.,5.0 ,"AMAZING SMART PLUG. App is only for a phone,but works amazing and almost instant if your internet is smooth.Love it, wish I had reason to have 20!Absolutely recommend and if I need another like this,I will get the same one!","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Four Stars,4.0 ,I love it so far. I'm thinking of adding more.,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Five Stars,5.0 ,works nicely,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Only worked less than 1 week,1.0 ,"I received this as a gift, but it didn’t work. It would not turn the outlet on when it was scheduled. It did work for the first few days, but stopped working.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Much better than I expected!,5.0 ,"Works like a champ. So easy to set up in minutes. I have my timer set for daily use and its simple to override timer to use manually if needed. Just got back from a week vacation, worked flawlessly. Worth every penny!!!","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Five Stars,5.0 ,Wonderful product,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
